,precision,recall,f1-score,support,dataset
0,0.898989898989899,0.8240740740740741,0.8599033816425121,108.0,validation_300
1,0.8376068376068376,0.9074074074074074,0.8711111111111111,108.0,validation_300
accuracy,0.8657407407407407,0.8657407407407407,0.8657407407407407,0.8657407407407407,validation_300
macro avg,0.8682983682983683,0.8657407407407407,0.8655072463768116,216.0,validation_300
weighted avg,0.8682983682983684,0.8657407407407407,0.8655072463768115,216.0,validation_300
0,0.8899082568807339,0.8981481481481481,0.8940092165898618,216.0,test_300
1,0.897196261682243,0.8888888888888888,0.8930232558139535,216.0,test_300
accuracy,0.8935185185185185,0.8935185185185185,0.8935185185185185,0.8935185185185185,test_300
macro avg,0.8935522592814884,0.8935185185185185,0.8935162362019076,432.0,test_300
weighted avg,0.8935522592814885,0.8935185185185185,0.8935162362019077,432.0,test_300
0,0.9306930693069307,0.8703703703703703,0.8995215311004785,108.0,validation_600
1,0.8782608695652174,0.9351851851851852,0.905829596412556,108.0,validation_600
accuracy,0.9027777777777778,0.9027777777777778,0.9027777777777778,0.9027777777777778,validation_600
macro avg,0.9044769694360741,0.9027777777777778,0.9026755637565173,216.0,validation_600
weighted avg,0.9044769694360743,0.9027777777777778,0.9026755637565173,216.0,validation_600
0,0.9146919431279621,0.8935185185185185,0.9039812646370023,216.0,test_600
1,0.8959276018099548,0.9166666666666666,0.9061784897025171,216.0,test_600
accuracy,0.9050925925925926,0.9050925925925926,0.9050925925925926,0.9050925925925926,test_600
macro avg,0.9053097724689585,0.9050925925925926,0.9050798771697597,432.0,test_600
weighted avg,0.9053097724689584,0.9050925925925926,0.9050798771697598,432.0,test_600
0,0.9411764705882353,0.8888888888888888,0.9142857142857143,108.0,validation_1200
1,0.8947368421052632,0.9444444444444444,0.918918918918919,108.0,validation_1200
accuracy,0.9166666666666666,0.9166666666666666,0.9166666666666666,0.9166666666666666,validation_1200
macro avg,0.9179566563467492,0.9166666666666666,0.9166023166023166,216.0,validation_1200
weighted avg,0.9179566563467492,0.9166666666666666,0.9166023166023165,216.0,validation_1200
0,0.9342723004694836,0.9212962962962963,0.9277389277389277,216.0,test_1200
1,0.9223744292237442,0.9351851851851852,0.9287356321839081,216.0,test_1200
accuracy,0.9282407407407407,0.9282407407407407,0.9282407407407407,0.9282407407407407,test_1200
macro avg,0.9283233648466139,0.9282407407407407,0.9282372799614179,432.0,test_1200
weighted avg,0.9283233648466138,0.9282407407407407,0.9282372799614179,432.0,test_1200
0,0.941747572815534,0.8981481481481481,0.919431279620853,108.0,validation_full
1,0.9026548672566371,0.9444444444444444,0.9230769230769231,108.0,validation_full
accuracy,0.9212962962962963,0.9212962962962963,0.9212962962962963,0.9212962962962963,validation_full
macro avg,0.9222012200360856,0.9212962962962963,0.9212541013488881,216.0,validation_full
weighted avg,0.9222012200360856,0.9212962962962963,0.9212541013488881,216.0,validation_full
0,0.9428571428571428,0.9166666666666666,0.9295774647887324,216.0,test_full
1,0.918918918918919,0.9444444444444444,0.9315068493150684,216.0,test_full
accuracy,0.9305555555555556,0.9305555555555556,0.9305555555555556,0.9305555555555556,test_full
macro avg,0.930888030888031,0.9305555555555556,0.9305421570519004,432.0,test_full
weighted avg,0.9308880308880307,0.9305555555555556,0.9305421570519004,432.0,test_full
